iter	Passed	Remaining
0	1	1810
1	3	1844
2	6	2092
3	8	1993
4	9	1874
5	11	1867
6	13	1866
7	14	1830
8	16	1826
9	18	1796
10	20	1826
11	22	1871
12	24	1870
13	26	1883
14	29	1911
15	31	1914
16	32	1907
17	35	1909
18	37	1928
19	39	1938
20	41	1926
21	43	1922
22	44	1907
23	46	1882
24	48	1875
25	49	1867
26	51	1869
27	54	1875
28	55	1869
29	57	1872
30	59	1871
31	62	1880
32	63	1865
33	65	1851
34	66	1845
35	69	1867
36	71	1857
37	73	1859
38	75	1856
39	77	1849
40	79	1851
41	79	1824
42	82	1828
43	83	1818
44	85	1811
45	88	1826
46	89	1821
47	91	1820
48	94	1829
49	96	1827
50	98	1824
51	99	1819
52	102	1837
53	105	1842
54	106	1834
55	109	1837
56	110	1825
57	111	1813
58	112	1800
59	114	1788
60	115	1778
61	116	1769
62	119	1782
63	121	1774
64	122	1764
65	123	1753
66	126	1755
67	127	1746
68	128	1736
69	130	1727
70	131	1720
71	132	1713
72	136	1735
73	138	1730
74	139	1725
75	142	1728
76	143	1720
77	144	1712
78	146	1703
79	147	1697
80	149	1690
81	152	1705
82	154	1708
83	156	1703
84	158	1702
85	160	1703
86	162	1705
87	164	1706
88	167	1715
89	170	1719
90	172	1722
91	174	1723
92	176	1724
93	179	1725
94	181	1725
95	183	1724
96	185	1724
97	187	1726
98	190	1730
99	192	1731
100	194	1735
101	203	1787
102	206	1802
103	208	1793
104	210	1791
105	212	1791
106	215	1794
107	216	1790
108	219	1793
109	221	1792
110	224	1795
111	226	1795
112	228	1795
113	231	1802
114	234	1802
115	236	1800
116	238	1799
117	240	1798
118	243	1799
119	244	1794
120	246	1792
121	249	1793
122	251	1792
123	253	1791
124	256	1795
125	258	1794
126	261	1795
127	263	1794
128	265	1792
129	267	1786
130	269	1785
131	271	1784
132	273	1783
133	276	1785
134	278	1786
135	280	1780
136	283	1782
137	285	1781
138	287	1778
139	289	1775
140	291	1774
141	295	1784
142	298	1789
143	300	1788
144	303	1786
145	305	1784
146	307	1782
147	309	1780
148	311	1779
149	313	1776
150	315	1774
151	317	1773
152	320	1771
153	323	1775
154	325	1773
155	328	1778
156	330	1776
157	333	1776
158	335	1774
159	337	1772
160	339	1771
161	341	1767
162	344	1766
163	346	1765
164	348	1763
165	350	1762
166	353	1765
167	356	1763
168	358	1762
169	360	1762
170	363	1764
171	366	1762
172	368	1761
173	370	1759
174	372	1757
175	374	1755
176	377	1753
177	379	1752
178	382	1753
179	385	1756
180	387	1754
181	390	1757
182	393	1756
183	395	1755
184	398	1753
185	400	1751
186	402	1749
187	404	1748
188	406	1745
189	409	1744
190	411	1743
191	413	1741
192	416	1739
193	418	1737
194	421	1738
195	423	1736
196	425	1734
197	428	1733
198	430	1732
199	432	1731
200	435	1730
201	437	1728
202	439	1726
203	441	1724
204	444	1722
205	446	1721
206	448	1719
207	451	1718
208	453	1716
209	456	1715
210	458	1714
211	461	1714
212	463	1713
213	466	1712
214	468	1710
215	470	1707
216	472	1705
217	475	1705
218	477	1703
219	479	1700
